,city,street,housenumber,lon,lat
75,москва,туристская улица,25к1,37.420355611111106,55.85491198888889
76,москва,туристская улица,29к1,37.419806175,55.8565629
77,москва,туристская улица,20к1,37.42177931851853,55.85680674074073
78,москва,туристская улица,18,37.42324906923076,55.85557432307693
81,москва,героев панфиловцев улица,3к1,37.43596029473685,55.854670894736834
82,москва,аэродромная улица,18,37.4328502,55.84900571111111
83,москва,аэродромная улица,14,37.433102811111105,55.848175077777775
84,москва,аэродромная улица,10к1,37.43341085555555,55.84733884444445
85,москва,нелидовская улица,22,37.43438979999999,55.84680045555555
86,москва,нелидовская улица,20к1,37.436010543749994,55.846753143750014
87,москва,аэродромная улица,8,37.4334375,55.84628388461539
88,москва,аэродромная улица,6,37.43247816,55.84577363999999
89,москва,нелидовская улица,25,37.4346678625,55.8463329375
90,москва,нелидовская улица,23,37.435810262500006,55.846256625
91,москва,нелидовская улица,21,37.436938999999995,55.84618372499999
92,москва,аэродромная улица,4с1,37.43257365454545,55.84512874545455
93,москва,фабрициуса улица,42,37.432308416666665,55.84422736666667
94,москва,аэродромная улица,2с1,37.43168715555556,55.84459423333334
95,москва,яна райниса бульвар,6к1,37.42915873636363,55.85062601818181
96,москва,туристская улица,10,37.42557798571429,55.851700457142854
97,москва,яна райниса бульвар,37,37.416327281818184,55.84936697272727
98,москва,яна райниса бульвар,39,37.41360090555556,55.849839888888894
99,москва,яна райниса бульвар,43,37.40911369444445,55.85001271666667
100,москва,яна райниса бульвар,45к1,37.40664434347826,55.84995743478261
101,москва,яна райниса бульвар,47,37.40563594285714,55.84949235714286
108,москва,симоновский вал улица,12,37.661868600000005,55.72469958000001
109,москва,симоновский вал улица,10,37.66176398,55.72550524
110,москва,крутицкая набережная,5,37.65938622,55.726380719999995
111,москва,крутицкая набережная,7,37.65955576,55.72560094000001
112,москва,крутицкая набережная,9,37.65982848,55.7248339
113,москва,крутицкая набережная,11,37.65996564,55.723899200000005
114,москва,крутицкая набережная,13,37.66018088,55.7231448
115,москва,симоновский вал улица,14,37.6619475,55.72378146
133,москва,мельникова улица,25,37.66731778888888,55.72491006666666
134,москва,мельникова улица,23,37.668268977777785,55.724997677777786
135,москва,мельникова улица,21,37.66903955555556,55.72505344444444
136,москва,мельникова улица,17,37.669922211111114,55.725124400000006
137,москва,мельникова улица,15/10,37.670676854545455,55.72523842727273
138,москва,мельникова улица,16,37.66793942727273,55.72590504545454
139,москва,1-я дубровская улица,8/12,37.66975567142857,55.72609709285716
146,москва,1-я дубровская улица,2бк1,37.66775135,55.72929482999999
147,москва,1-я дубровская улица,2,37.66851803333333,55.72839667777778
148,москва,1-я дубровская улица,1а,37.669395214285714,55.728613592857144
158,москва,кантемировская улица,6к1,37.67744818749999,55.63792967500001
164,москва,4-й крутицкий переулок,10с1,37.65910206428571,55.72930524285715
182,москва,кантемировская улица,18к1,37.66372801999999,55.63859038
183,москва,кантемировская улица,14,37.66879654,55.63831136000001
184,москва,кантемировская улица,14к2,37.66873073,55.63891364000001
185,москва,кошкина улица,12к3,37.6688634625,55.6397348
186,москва,кошкина улица,12к2,37.66956624285715,55.639378757142865
187,москва,кошкина улица,12к1,37.67130243529412,55.63934954117648
188,москва,кантемировская улица,16к2,37.66755088888888,55.6394815
189,москва,кантемировская улица,16к2с3,37.666802659999995,55.63906068
203,москва,новоостаповская улица,6,37.66768020769231,55.718153146153846
206,москва,шарикоподшипниковская улица,7к2,37.670102912500006,55.721982350000005
207,москва,1-я дубровская улица,13,37.67298385333333,55.723800999999995
228,москва,ферганский проезд,12,37.81918182,55.69501454
237,москва,дубнинская улица,30,37.55925537,55.87741803
240,москва,11-я парковая улица,24,37.806811827272725,55.79471281818182
246,москва,11-я парковая улица,1/89к2,37.80546998333334,55.78908226666667
265,москва,средняя первомайская улица,38/7,37.81207439000001,55.794685300000005
314,москва,11-я парковая улица,1/89к1,37.80451545,55.7891636
